day,Dorine Sauzet,Jean-Baptiste,Quentin-Production Type,Christoph Koeberlin
2016-28,0,799,0,0
2016-29,0,799,0,0
2016-30,0,799,0,0
2016-31,0,799,0,0
2016-32,0,799,0,0
2016-33,0,799,0,0
2016-34,0,799,0,0
2016-35,0,799,0,0
2016-36,0,1704,0,0
2016-37,0,1704,0,0
2016-38,0,1704,0,0
2016-39,0,1704,0,0
2016-40,0,29673,0,0
2016-41,0,92873,0,0
2016-42,0,244844,0,0
2016-43,0,249431,0,0
2016-44,7126,526051,32,0
2016-45,325312,544701,47886,0
2016-46,325312,847497,213702,0
2016-47,1048127,6129788,213702,0
2016-48,1891393,6130509,213702,0
2016-49,4069755,6130510,1154928,0
2016-50,5450120,6130510,1154928,0
2016-51,7523607,6130510,1157061,0
2016-52,7523607,6130510,1157061,0
2017-01,8972049,6130510,1157061,0
2017-02,12918886,8374986,1157061,0
2017-03,14528820,8374986,1157064,0
2017-04,16507031,8374986,1157064,0
2017-05,18917194,8374986,1169016,0
2017-06,21118978,8393114,1169016,0
2017-07,22825111,8393114,2371531,0
2017-08,25713731,8393114,2371531,12173
